strand	strat	chr	gene_name	gene_id	end	gene_type
+	31514410	20	HM13	ENSG00000101294	31577923	protein_coding
+	31535263	20	AL110115.1	ENSG00000274364	31535626	lncRNA
+	31547412	20	MCTS2P	ENSG00000101898	31548081	protein_coding
+	31563166	20	HM13-IT1	ENSG00000235313	31564076	lncRNA
-	31567707	20	HM13-AS1	ENSG00000230613	31573263	lncRNA
+	31580890	20	AL110115.2	ENSG00000278276	31581214	lncRNA
+	31581089	20	RNU6-384P	ENSG00000201770	31581192	snRNA
+	31605283	20	ID1	ENSG00000125968	31606515	protein_coding
+	31607186	20	MIR3193	ENSG00000264395	31607240	miRNA
+	31637912	20	COX4I2	ENSG00000131055	31645006	protein_coding
-	31664452	20	BCL2L1	ENSG00000171552	31723989	protein_coding
+	31686216	20	BCL2L1-AS1	ENSG00000236559	31716825	lncRNA
+	31721507	20	ABALON	ENSG00000281376	31723409	lncRNA
+	31739271	20	TPX2	ENSG00000088325	31801805	protein_coding
-	31808503	20	AL160175.1	ENSG00000230801	31808749	processed_pseudogene
+	31819308	20	MYLK2	ENSG00000101306	31834689	protein_coding
-	31844303	20	FOXS1	ENSG00000179772	31845604	protein_coding
-	31847637	20	DUSP15	ENSG00000149599	31870747	protein_coding
+	31870702	20	TTLL9	ENSG00000131044	31944963	protein_coding
+	31901254	20	RNU1-94P	ENSG00000199497	31901426	snRNA
-	31944337	20	PDRG1	ENSG00000088356	31952046	protein_coding
+	31968151	20	XKR7	ENSG00000260903	32003387	protein_coding
+	31970181	20	AL031658.2	ENSG00000278012	31970831	lncRNA
-	32005671	20	AL031658.1	ENSG00000226239	32031591	lncRNA
+	32008351	20	RNA5SP481	ENSG00000252623	32008472	rRNA_pseudogene
+	32010438	20	CCM2L	ENSG00000101331	32032180	protein_coding
+	32050588	20	RNA5SP482	ENSG00000212571	32050705	rRNA_pseudogene
+	32052197	20	HCK	ENSG00000101336	32101856	protein_coding
+	32109714	20	TM9SF4	ENSG00000101337	32167258	protein_coding
+	32116171	20	AL049539.1	ENSG00000275576	32116629	lncRNA
-	32170390	20	RSL24D1P6	ENSG00000224452	32170790	processed_pseudogene
-	32186477	20	TSPY26P	ENSG00000235217	32190527	transcribed_processed_pseudogene
-	32192504	20	PLAGL2	ENSG00000126003	32207743	protein_coding
+	32207880	20	POFUT1	ENSG00000101346	32238658	protein_coding
+	32237795	20	MIR1825	ENSG00000284125	32237847	miRNA
-	32275117	20	AL121897.1	ENSG00000287850	32277510	lncRNA
+	32277651	20	KIF3B	ENSG00000101350	32335011	protein_coding
+	32355053	20	AL121583.1	ENSG00000277692	32355734	lncRNA
+	32358330	20	ASXL1	ENSG00000171456	32439319	protein_coding
-	32443059	20	NOL4L	ENSG00000197183	32585074	protein_coding
+	32449755	20	AL034550.1	ENSG00000236772	32453607	lncRNA
+	32485149	20	AL034550.3	ENSG00000286311	32487019	lncRNA
+	32509959	20	AL034550.2	ENSG00000277301	32520285	lncRNA
+	32561093	20	AL133343.2	ENSG00000233293	32573888	lncRNA
+	32564992	20	NOL4L-DT	ENSG00000204393	32608893	lncRNA
+	32581963	20	AL133343.1	ENSG00000228156	32593900	lncRNA
-	32631625	20	C20orf203	ENSG00000198547	32673941	protein_coding
-	32632183	20	FO393400.1	ENSG00000285382	32743567	protein_coding
-	32690180	20	BAK1P1	ENSG00000175730	32690815	processed_pseudogene
-	32702699	20	COMMD7	ENSG00000149600	32743467	protein_coding
+	32762385	20	DNMT3B	ENSG00000088305	32809356	protein_coding
+	32819954	20	MAPRE1	ENSG00000101367	32850405	protein_coding
-	32843128	20	AL035071.2	ENSG00000260536	32854257	lncRNA
+	32856621	20	AL035071.1	ENSG00000260257	32858751	lncRNA
+	32858923	20	EFCAB8	ENSG00000215529	32961609	protein_coding
-	32983773	20	SUN5	ENSG00000167098	33004433	protein_coding
+	33007704	20	BPIFB2	ENSG00000078898	33023703	protein_coding
+	33031648	20	BPIFB6	ENSG00000167104	33044047	protein_coding
-	33047517	20	PUDPP3	ENSG00000214245	33048152	processed_pseudogene
+	33055424	20	BPIFB3	ENSG00000186190	33073628	protein_coding
+	33079644	20	BPIFB4	ENSG00000186191	33111751	protein_coding
+	33161768	20	BPIFA2	ENSG00000131050	33181412	protein_coding
+	33187391	20	SOCS2P1	ENSG00000237662	33188292	processed_pseudogene
+	33193585	20	BPIFA4P	ENSG00000183566	33210462	transcribed_unprocessed_pseudogene
-	33214920	20	AL121901.1	ENSG00000224876	33217067	lncRNA
+	33217310	20	BPIFA3	ENSG00000131059	33227806	protein_coding
+	33235995	20	BPIFA1	ENSG00000198183	33243311	protein_coding
-	33272262	20	RPL12P3	ENSG00000233106	33272657	processed_pseudogene
+	33273480	20	BPIFB1	ENSG00000125999	33309871	protein_coding
+	33316869	20	BPIFB5P	ENSG00000233146	33329969	unitary_pseudogene
+	33347720	20	BPIFB9P	ENSG00000125997	33354444	transcribed_unitary_pseudogene
-	33358839	20	CDK5RAP1	ENSG00000101391	33401561	protein_coding
-	33407957	20	SNTA1	ENSG00000101400	33443763	protein_coding
+	33490075	20	CBFA2T2	ENSG00000078699	33650036	protein_coding
-	33655701	20	AL121906.2	ENSG00000275223	33656423	lncRNA
-	33657087	20	NECAB3	ENSG00000125967	33674463	protein_coding
+	33662327	20	C20orf144	ENSG00000149609	33665619	protein_coding
+	33674517	20	AL121906.1	ENSG00000271803	33675380	lncRNA
-	33675477	20	E2F1	ENSG00000101412	33686385	protein_coding
-	33702758	20	PXMP4	ENSG00000101417	33720319	protein_coding
-	33728931	20	AL050349.1	ENSG00000229188	33731828	lncRNA
+	33731657	20	ZNF341	ENSG00000131061	33792269	protein_coding
-	33752167	20	RPL31P2	ENSG00000230837	33752543	processed_pseudogene
-	33787373	20	ZNF341-AS1	ENSG00000230753	33811109	lncRNA
+	33811348	20	CHMP4B	ENSG00000101421	33854366	protein_coding
-	33912323	20	TPM3P2	ENSG00000214200	33913336	processed_pseudogene
+	33965162	20	PIGPP3	ENSG00000228958	33965576	processed_pseudogene
-	33980679	20	RALY-AS1	ENSG00000285230	33994357	lncRNA
+	33993646	20	RALY	ENSG00000125970	34108308	protein_coding
-	34014969	20	AL031668.1	ENSG00000228386	34017749	lncRNA
+	34049119	20	MIR4755	ENSG00000264616	34049190	miRNA
-	34088309	20	EIF2S2	ENSG00000125977	34112243	protein_coding
+	34122470	20	RPS2P1	ENSG00000225246	34123290	processed_pseudogene
+	34132270	20	AL031668.2	ENSG00000287853	34136485	lncRNA
+	34194569	20	ASIP	ENSG00000101440	34269344	protein_coding
-	34213495	20	XPOTP1	ENSG00000214185	34215892	processed_pseudogene
-	34234840	20	AL035458.2	ENSG00000250917	34281173	lncRNA
-	34245953	20	AL035458.1	ENSG00000236456	34246537	processed_pseudogene
-	34280268	20	AHCY	ENSG00000101444	34311802	protein_coding
-	34281632	20	AL356299.2	ENSG00000272945	34286466	lncRNA
-	34347671	20	AL356299.1	ENSG00000234087	34347785	processed_pseudogene
+	34363241	20	ITCH	ENSG00000078747	34540748	protein_coding
-	34402149	20	CDC42P1	ENSG00000234933	34402696	processed_pseudogene
-	34441592	20	ITCH-AS1	ENSG00000236388	34442025	lncRNA
+	34450930	20	ITCH-IT1	ENSG00000231795	34454552	lncRNA
+	34466325	20	MIR644A	ENSG00000207997	34466418	miRNA
-	34475924	20	FDX1P1	ENSG00000181741	34476474	processed_pseudogene
+	34476205	20	AL109923.1	ENSG00000277558	34476787	lncRNA
+	34516414	20	DYNLRB1	ENSG00000125971	34540958	protein_coding
+	34546854	20	MAP1LC3A	ENSG00000101460	34560345	protein_coding
-	34560542	20	PIGU	ENSG00000101464	34698790	protein_coding
+	34688688	20	AL118520.1	ENSG00000231034	34688978	processed_pseudogene
-	34689097	20	NCOA6	ENSG00000198646	34825651	protein_coding
+	34704339	20	TP53INP2	ENSG00000078804	34713439	protein_coding
+	34741401	20	AL109824.1	ENSG00000286803	34807447	lncRNA
-	34833575	20	HMGB3P1	ENSG00000225336	34834462	processed_pseudogene
-	34844720	20	GGT7	ENSG00000131067	34872856	protein_coding
+	34872146	20	ACSS2	ENSG00000131069	34927962	protein_coding
-	34928432	20	GSS	ENSG00000100983	34956027	protein_coding
+	34955810	20	MYH7B	ENSG00000078814	35002437	protein_coding
+	34990376	20	MIR499A	ENSG00000207635	34990497	miRNA
-	34990400	20	MIR499B	ENSG00000283441	34990472	miRNA
-	35002404	20	TRPC4AP	ENSG00000100991	35092807	protein_coding
-	35030317	20	RNU6-407P	ENSG00000202150	35030420	snRNA
-	35115364	20	EDEM2	ENSG00000088298	35147336	protein_coding
-	35117136	20	AL135844.1	ENSG00000201151	35117207	snoRNA
+	35172072	20	PROCR	ENSG00000101000	35216240	protein_coding
-	35174355	20	AL356652.1	ENSG00000278367	35174919	lncRNA
+	35195306	20	RNA5SP483	ENSG00000200301	35195423	rRNA_pseudogene
-	35201745	20	MMP24OS	ENSG00000126005	35278131	protein_coding
+	35218009	20	MT1P3	ENSG00000229230	35218185	processed_pseudogene
+	35226690	20	MMP24	ENSG00000125966	35276998	protein_coding
-	35262727	20	AL121753.2	ENSG00000279253	35264187	TEC
-	35267885	20	AL121753.1	ENSG00000261582	35280043	protein_coding
-	35278907	20	EIF6	ENSG00000242372	35284985	protein_coding
+	35285251	20	FAM83C-AS1	ENSG00000235214	35285756	lncRNA
-	35285731	20	FAM83C	ENSG00000125998	35292425	protein_coding
-	35302566	20	UQCC1	ENSG00000101019	35412031	protein_coding
+	35433029	20	GDF5-AS1	ENSG00000204183	35435450	lncRNA
-	35433347	20	GDF5	ENSG00000125965	35454746	protein_coding
-	35453954	20	MIR1289-1	ENSG00000221763	35454097	miRNA
+	35455164	20	CEP250	ENSG00000126001	35519280	protein_coding
-	35476203	20	CEP250-AS1	ENSG00000230155	35490982	lncRNA
-	35520852	20	FO393401.1	ENSG00000242507	35528255	transcribed_unprocessed_pseudogene
-	35523186	20	C20orf173	ENSG00000125975	35529652	protein_coding
+	35542038	20	ERGIC3	ENSG00000125991	35557634	protein_coding
-	35544430	20	RPL36P4	ENSG00000224497	35544747	processed_pseudogene
-	35558737	20	FER1L4	ENSG00000088340	35607562	transcribed_unitary_pseudogene
+	35588324	20	RPL37P1	ENSG00000227401	35588607	processed_pseudogene
+	35615829	20	SPAG4	ENSG00000061656	35621094	protein_coding
-	35626031	20	CPNE1	ENSG00000214078	35664956	protein_coding
-	35632340	20	AL109827.1	ENSG00000272897	35674544	protein_coding
+	35643143	20	RN7SKP271	ENSG00000222460	35643462	misc_RNA
-	35647328	20	RNU6-759P	ENSG00000252549	35647430	snRNA
-	35648925	20	RBM12	ENSG00000244462	35664956	protein_coding
-	35668052	20	NFS1	ENSG00000244005	35699355	protein_coding
+	35699272	20	ROMO1	ENSG00000125995	35700984	protein_coding
-	35701347	20	RBM39	ENSG00000131051	35742312	protein_coding
+	35752814	20	RPF2P1	ENSG00000225357	35753719	processed_pseudogene
+	35771974	20	PHF20	ENSG00000025293	35950370	protein_coding
-	35850674	20	COX7BP2	ENSG00000234274	35850915	processed_pseudogene
+	35878476	20	HIGD1AP16	ENSG00000219608	35878733	processed_pseudogene
+	35887659	20	RNU4-40P	ENSG00000201221	35887801	snRNA
-	35928570	20	RNU6-937P	ENSG00000207053	35928675	snRNA
-	35953617	20	SCAND1	ENSG00000171222	35959472	protein_coding
+	35954564	20	CNBD2	ENSG00000149646	36030700	protein_coding
-	36045618	20	NORAD	ENSG00000260032	36051018	lncRNA
+	36051491	20	AL035420.1	ENSG00000234139	36085703	lncRNA
-	36064243	20	AL035420.3	ENSG00000277235	36064563	lncRNA
-	36076018	20	HMGB3P2	ENSG00000231470	36076601	processed_pseudogene
-	36086252	20	AL035420.2	ENSG00000237063	36088192	lncRNA
+	36091504	20	EPB41L1	ENSG00000088367	36232799	protein_coding
-	36147334	20	AL121895.1	ENSG00000232406	36155760	lncRNA
+	36233851	20	AL121895.2	ENSG00000278035	36234297	lncRNA
+	36236131	20	AAR2	ENSG00000131043	36270918	protein_coding
+	36306336	20	DLGAP4	ENSG00000080845	36528637	protein_coding
-	36507702	20	DLGAP4-AS1	ENSG00000232907	36573391	lncRNA
+	36541497	20	MYL9	ENSG00000101335	36551447	protein_coding
+	36573488	20	TGIF2	ENSG00000118707	36593950	protein_coding
+	36574553	20	TGIF2-RAB5IF	ENSG00000259399	36612384	protein_coding
+	36605779	20	RAB5IF	ENSG00000101084	36612557	protein_coding
-	36612318	20	SLA2	ENSG00000101082	36646196	protein_coding
+	36620403	20	HNRNPA3P2	ENSG00000227688	36621423	unprocessed_pseudogene
-	36651766	20	NDRG3	ENSG00000101079	36746090	protein_coding
-	36751791	20	DSN1	ENSG00000149636	36773818	protein_coding
-	36777447	20	SOGA1	ENSG00000149639	36863538	protein_coding
+	36870099	20	RN7SL156P	ENSG00000242509	36870402	misc_RNA
+	36876121	20	TLDC2	ENSG00000101342	36894235	protein_coding
-	36890229	20	SAMHD1	ENSG00000101347	36951843	protein_coding
-	36996349	20	RBL1	ENSG00000080839	37095997	protein_coding
-	37021743	20	RPS3AP3	ENSG00000231241	37021984	processed_pseudogene
+	37049254	20	RPS27AP3	ENSG00000226144	37049707	processed_pseudogene
+	37095785	20	AL136172.1	ENSG00000269846	37097178	lncRNA
-	37101226	20	MROH8	ENSG00000101353	37179588	protein_coding
-	37165774	20	AL031659.1	ENSG00000236159	37166312	processed_pseudogene
+	37178410	20	RPN2	ENSG00000118705	37241619	protein_coding
-	37251086	20	GHRH	ENSG00000118702	37261814	protein_coding
+	37289638	20	MANBAL	ENSG00000101363	37317260	protein_coding
-	37338886	20	AL034422.1	ENSG00000286240	37344109	lncRNA
+	37344685	20	SRC	ENSG00000197122	37406050	protein_coding
-	37444733	20	RPL7AP14	ENSG00000213979	37445534	processed_pseudogene
-	37492472	20	BLCAP	ENSG00000166619	37527931	protein_coding
+	37521206	20	NNAT	ENSG00000053438	37523690	protein_coding
-	37526642	20	AL109614.1	ENSG00000276603	37527060	lncRNA
+	37530039	20	PPIAP3	ENSG00000235044	37530543	processed_pseudogene
+	37571103	20	LINC01746	ENSG00000274469	37591493	lncRNA
-	37602852	20	GLRXP1	ENSG00000228234	37603185	processed_pseudogene
-	37619298	20	LINC00489	ENSG00000225759	37623119	lncRNA
+	37676889	20	AL162293.1	ENSG00000204117	37683234	lncRNA
+	37693955	20	CTNNBL1	ENSG00000132792	37872129	protein_coding
+	37903111	20	VSTM2L	ENSG00000132821	37945350	protein_coding
-	37975156	20	RN7SKP185	ENSG00000199683	37975481	misc_RNA
-	37983007	20	TTI1	ENSG00000101407	38033461	protein_coding
+	38033725	20	RPRD1B	ENSG00000101413	38127780	protein_coding
-	38098414	20	RN7SL237P	ENSG00000264767	38098700	misc_RNA
-	38103524	20	AL031651.1	ENSG00000277550	38104961	lncRNA
-	38127385	20	TGM2	ENSG00000198959	38166578	protein_coding
-	38210503	20	KIAA1755	ENSG00000149633	38260772	protein_coding
-	38233251	20	AL031651.2	ENSG00000277829	38233799	lncRNA
+	38260149	20	AL359555.3	ENSG00000285144	38304332	lncRNA
+	38260175	20	AL359555.4	ENSG00000285347	38293892	lncRNA
+	38270778	20	AL359555.2	ENSG00000285100	38274020	lncRNA
-	38288331	20	AL359555.1	ENSG00000206249	38326536	lncRNA
+	38304150	20	BPI	ENSG00000101425	38337505	protein_coding
+	38346482	20	LBP	ENSG00000129988	38377013	protein_coding
+	38378825	20	AL391095.2	ENSG00000275285	38383179	lncRNA
-	38404893	20	AL391095.1	ENSG00000224635	38416797	lncRNA
-	38418483	20	AL391095.3	ENSG00000275401	38419202	lncRNA
-	38419638	20	SNHG17	ENSG00000196756	38435409	lncRNA
-	38425083	20	SNORA71B	ENSG00000235408	38425354	snoRNA
-	38427309	20	SNORA71A	ENSG00000225091	38427442	snoRNA
-	38429670	20	SNORA71C	ENSG00000201512	38429803	snoRNA
-	38433865	20	SNORA71D	ENSG00000200354	38433998	snoRNA
+	38446343	20	SNHG11	ENSG00000174365	38450940	lncRNA
+	38448084	20	SNORA71E	ENSG00000274309	38448215	snoRNA
+	38449370	20	SNORA60	ENSG00000199266	38449503	snoRNA
+	38472816	20	RALGAPB	ENSG00000170471	38578859	protein_coding
+	38516563	20	MIR548O2	ENSG00000275453	38516632	miRNA
+	38537758	20	RPS3P2	ENSG00000231307	38538458	processed_pseudogene
+	38581195	20	ADIG	ENSG00000182035	38588463	protein_coding
+	38601934	20	ARHGAP40	ENSG00000124143	38651035	protein_coding
-	38614913	20	AL035419.1	ENSG00000213959	38615476	processed_pseudogene
+	38724486	20	SLC32A1	ENSG00000101438	38729372	protein_coding
+	38748460	20	ACTR5	ENSG00000101442	38772520	protein_coding
+	38761528	20	RN7SKP173	ENSG00000199691	38761842	misc_RNA
+	38805697	20	PPP1R16B	ENSG00000101445	38923024	protein_coding
+	38872770	20	RN7SL116P	ENSG00000240474	38873074	misc_RNA
+	38926312	20	FAM83D	ENSG00000101447	38953106	protein_coding
+	38955910	20	AL023803.2	ENSG00000274825	38956547	lncRNA
-	38961925	20	AL023803.1	ENSG00000261431	38962111	lncRNA
+	38962299	20	DHX35	ENSG00000101452	39039723	protein_coding
+	38962472	20	AL023803.3	ENSG00000277581	38962993	lncRNA
-	38977711	20	NPM1P19	ENSG00000223864	38978422	processed_pseudogene
-	39213777	20	LINC01734	ENSG00000230324	39224748	lncRNA
-	39231115	20	AL035251.1	ENSG00000287983	39233836	lncRNA
-	39329014	20	ATG3P1	ENSG00000224357	39329924	processed_pseudogene
-	39349094	20	RN7SL680P	ENSG00000275337	39349392	misc_RNA
-	39655325	20	AL132981.1	ENSG00000286083	39663552	lncRNA
+	39757202	20	AL118523.1	ENSG00000229976	39815097	lncRNA
-	39932922	20	HSPE1P1	ENSG00000234878	39933239	processed_pseudogene
+	40004216	20	LINC01370	ENSG00000237767	40011323	lncRNA
+	40031585	20	AL133419.1	ENSG00000233415	40043889	lncRNA
+	40121041	20	AL009050.1	ENSG00000223410	40126357	lncRNA
-	40685848	20	MAFB	ENSG00000204103	40689236	protein_coding
-	40696499	20	AL035665.1	ENSG00000229771	40698616	lncRNA
+	40717257	20	AL035665.2	ENSG00000286972	40758636	lncRNA
-	40854119	20	RNA5SP484	ENSG00000238908	40854229	rRNA_pseudogene
+	41024205	20	RNU2-52P	ENSG00000222612	41024394	snRNA
+	41028822	20	TOP1	ENSG00000198900	41124487	protein_coding
-	41098019	20	PLCG1-AS1	ENSG00000226648	41138003	lncRNA
+	41136960	20	PLCG1	ENSG00000124181	41196801	protein_coding
+	41169023	20	MIR6871	ENSG00000276169	41169078	miRNA
-	41178448	20	ZHX3	ENSG00000174306	41317672	protein_coding
-	41196647	20	AL022394.1	ENSG00000272407	41196938	transcribed_processed_pseudogene
+	41196691	20	RPL23AP81	ENSG00000242748	41197157	transcribed_processed_pseudogene
-	41290280	20	RN7SL615P	ENSG00000263989	41290577	misc_RNA
+	41331123	20	ADI1P1	ENSG00000235102	41331660	processed_pseudogene
+	41340821	20	LPIN3	ENSG00000132793	41360582	protein_coding
-	41359962	20	EMILIN3	ENSG00000183798	41366818	protein_coding
+	41382383	20	AL031667.1	ENSG00000229398	41383107	processed_pseudogene
-	41402083	20	CHD6	ENSG00000124177	41618384	protein_coding
-	41459354	20	AL031667.2	ENSG00000235088	41461944	processed_pseudogene
-	41485571	20	AL031667.3	ENSG00000273951	41486225	lncRNA
+	41547422	20	RPL12P11	ENSG00000232493	41547922	processed_pseudogene
-	41684986	20	RNU6-1018P	ENSG00000252386	41685091	snRNA
-	41712479	20	AL133229.1	ENSG00000212224	41712600	snoRNA
+	41991140	20	AL049812.2	ENSG00000225458	42063969	lncRNA
-	41997131	20	AL049812.1	ENSG00000223651	41999397	processed_pseudogene
-	42014034	20	AL049812.3	ENSG00000228959	42015478	lncRNA
-	42072752	20	PTPRT	ENSG00000196090	43189970	protein_coding
+	42606694	20	AL035666.1	ENSG00000229892	42607559	processed_pseudogene
+	42685404	20	AL031656.1	ENSG00000229042	42688562	lncRNA
+	42968743	20	PTPRT-AS1	ENSG00000227599	42971492	lncRNA
+	43063326	20	RN7SKP100	ENSG00000223190	43063609	misc_RNA
+	43189998	20	AL021395.1	ENSG00000233508	43202599	lncRNA
+	43222206	20	RN7SL666P	ENSG00000240639	43222509	misc_RNA
+	43230760	20	PPIAP21	ENSG00000226038	43231260	processed_pseudogene
+	43304555	20	AL021395.2	ENSG00000252193	43304679	scaRNA
-	43388642	20	AL031681.1	ENSG00000237555	43389041	processed_pseudogene
+	43405473	20	RNU6-743P	ENSG00000201021	43405578	snRNA
-	43423196	20	EIF4EBP2P1	ENSG00000233711	43423538	processed_pseudogene
+	43457893	20	SRSF6	ENSG00000124193	43466046	protein_coding
+	43458054	20	AL031681.2	ENSG00000288000	43541881	protein_coding
+	43473013	20	RNU6-1251P	ENSG00000201372	43473119	snRNA
+	43489442	20	L3MBTL1	ENSG00000185513	43550954	protein_coding
-	43523261	20	Z98752.2	ENSG00000234271	43523572	processed_pseudogene
+	43540171	20	Z98752.3	ENSG00000277611	43569498	protein_coding
-	43549389	20	Z98752.1	ENSG00000226143	43550949	lncRNA
+	43558968	20	SGK2	ENSG00000101049	43588237	protein_coding
-	43590009	20	Z98752.4	ENSG00000282876	43590596	lncRNA
+	43590937	20	IFT52	ENSG00000101052	43647299	protein_coding
+	43652523	20	RPL27AP	ENSG00000215467	43653291	processed_pseudogene
+	43667019	20	MYBL2	ENSG00000101057	43716495	protein_coding
-	43726164	20	GTSF1L	ENSG00000124196	43727002	protein_coding
-	43796437	20	RNU6-639P	ENSG00000206801	43796543	snRNA
+	43894720	20	LINC01728	ENSG00000233277	43895468	lncRNA
+	43914852	20	TOX2	ENSG00000124191	44069616	protein_coding
+	44007248	20	RN7SL443P	ENSG00000241229	44007537	misc_RNA
-	44106590	20	JPH2	ENSG00000149596	44187188	protein_coding
+	44181111	20	AL035447.1	ENSG00000287570	44182712	lncRNA
-	44195939	20	OSER1	ENSG00000132823	44210771	protein_coding
+	44210907	20	OSER1-DT	ENSG00000223891	44226027	lncRNA
+	44247099	20	GDAP1L1	ENSG00000124194	44280947	protein_coding
-	44302840	20	FITM2	ENSG00000197296	44311202	protein_coding
+	44337043	20	R3HDML	ENSG00000101074	44351238	protein_coding
-	44347552	20	AL117382.1	ENSG00000226812	44355185	lncRNA
+	44355700	20	HNF4A	ENSG00000101076	44434596	protein_coding
-	44372746	20	HNF4A-AS1	ENSG00000229005	44395706	lncRNA
-	44389624	20	AL117382.2	ENSG00000233376	44391537	lncRNA
+	44408120	20	MIR3646	ENSG00000266151	44408203	miRNA
-	44436172	20	LINC01620	ENSG00000168746	44465349	lncRNA
-	44466564	20	RPL37AP1	ENSG00000226243	44466842	processed_pseudogene
+	44475874	20	TTPAL	ENSG00000124120	44494603	protein_coding
-	44496221	20	SERINC3	ENSG00000132824	44522085	protein_coding
+	44531785	20	PKIG	ENSG00000168734	44624247	protein_coding
-	44619522	20	ADA	ENSG00000196839	44652233	protein_coding
-	44656451	20	LINC01260	ENSG00000283440	44663498	lncRNA
-	44656451	20	AL139352.1	ENSG00000132832	44696096	lncRNA
-	44694892	20	KCNK15-AS1	ENSG00000244558	44746021	lncRNA
+	44714844	20	CCN5	ENSG00000064205	44728509	protein_coding
+	44745865	20	KCNK15	ENSG00000124249	44752313	protein_coding
+	44746642	20	AL118522.1	ENSG00000276223	44747201	lncRNA
-	44751808	20	RIMS4	ENSG00000101098	44810546	protein_coding
-	44841925	20	PGBD4P2	ENSG00000277708	44842539	unprocessed_pseudogene
-	44864435	20	AL008725.1	ENSG00000286100	44885604	lncRNA
+	44885702	20	YWHAB	ENSG00000166913	44908532	protein_coding
+	44910060	20	PABPC1L	ENSG00000101104	44959035	protein_coding
-	44942130	20	TOMM34	ENSG00000025772	44960397	protein_coding
-	44963794	20	STK4-AS1	ENSG00000227477	44966402	lncRNA
+	44966479	20	STK4	ENSG00000101109	45080021	protein_coding
-	45091214	20	KCNS1	ENSG00000124134	45101127	protein_coding
-	45109452	20	WFDC5	ENSG00000175121	45115172	protein_coding
-	45123425	20	WFDC12	ENSG00000168703	45124465	protein_coding
-	45137706	20	AL049767.1	ENSG00000283142	45138976	transcribed_unprocessed_pseudogene
+	45174902	20	PI3	ENSG00000124102	45176544	protein_coding
+	45207033	20	SEMG1	ENSG00000124233	45209768	protein_coding
+	45221373	20	SEMG2	ENSG00000124157	45224458	protein_coding
+	45229817	20	AL035660.1	ENSG00000233352	45230191	unprocessed_pseudogene
+	45230868	20	AL035660.2	ENSG00000243995	45233331	transcribed_unprocessed_pseudogene
-	45252239	20	SLPI	ENSG00000124107	45254564	protein_coding
-	45293445	20	MATN4	ENSG00000124159	45308529	protein_coding
+	45306840	20	RBPJL	ENSG00000124232	45317824	protein_coding
-	45325288	20	SDC4	ENSG00000124145	45348424	protein_coding
-	45345115	20	AL021578.1	ENSG00000275894	45345823	lncRNA
+	45361937	20	SYS1	ENSG00000204070	45376798	protein_coding
+	45363200	20	SYS1-DBNDD2	ENSG00000254806	45410610	protein_coding
-	45372557	20	TP53TG5	ENSG00000124251	45407889	protein_coding
-	45388347	20	NDUFB4P10	ENSG00000232880	45388705	processed_pseudogene
+	45406057	20	DBNDD2	ENSG00000244274	45410610	protein_coding
+	45416084	20	PIGT	ENSG00000124155	45456934	protein_coding
+	45425510	20	MIR6812	ENSG00000273555	45425573	miRNA
-	45435272	20	AL031663.3	ENSG00000277022	45448325	lncRNA
+	45469753	20	WFDC2	ENSG00000101443	45481532	protein_coding
+	45487613	20	AL031663.2	ENSG00000237464	45490248	lncRNA
-	45490818	20	RPL5P2	ENSG00000237068	45491671	processed_pseudogene
-	45512461	20	SPINT3	ENSG00000101446	45515622	protein_coding
-	45534196	20	WFDC6	ENSG00000243543	45539482	protein_coding
-	45534196	20	EPPIN-WFDC6	ENSG00000249139	45547662	protein_coding
-	45536796	20	AL031663.1	ENSG00000232135	45537014	processed_pseudogene
-	45539983	20	HSPD1P21	ENSG00000229900	45540227	processed_pseudogene
-	45540626	20	EPPIN	ENSG00000101448	45547752	protein_coding
-	45551153	20	WFDC8	ENSG00000158901	45579326	protein_coding
-	45559758	20	RNA5SP485	ENSG00000201923	45559876	rRNA_pseudogene
-	45567990	20	CCNB1IP1P2	ENSG00000230860	45568807	processed_pseudogene
-	45607939	20	WFDC9	ENSG00000180205	45631284	protein_coding
+	45629739	20	WFDC10A	ENSG00000180305	45631196	protein_coding
-	45640486	20	RPS2P7	ENSG00000235508	45641370	processed_pseudogene
-	45648563	20	WFDC11	ENSG00000180083	45670270	protein_coding
-	45684653	20	WFDC10B	ENSG00000182931	45705019	protein_coding
+	45702038	20	WFDC13	ENSG00000168634	45708817	protein_coding
-	45705102	20	MIR3617	ENSG00000266071	45705180	miRNA
+	45722347	20	SPINT4	ENSG00000149651	45725830	protein_coding
-	45745737	20	HNRNPA1P3	ENSG00000226188	45746287	processed_pseudogene
-	45747944	20	WFDC3	ENSG00000124116	45791932	protein_coding
+	45749920	20	SPINT5P	ENSG00000168630	45750074	processed_pseudogene
+	45778698	20	RNU6ATAC38P	ENSG00000221046	45778823	snRNA
+	45791954	20	DNTTIP1	ENSG00000101457	45811427	protein_coding
+	45812576	20	UBE2C	ENSG00000175063	45816957	protein_coding
-	45823214	20	TNNC2	ENSG00000101470	45833745	protein_coding
+	45833799	20	SNX21	ENSG00000124104	45843276	protein_coding
-	45841721	20	ACOT8	ENSG00000101473	45857405	protein_coding
+	45857614	20	ZSWIM3	ENSG00000132801	45879122	protein_coding
+	45881227	20	ZSWIM1	ENSG00000168612	45885266	protein_coding
-	45886489	20	SPATA25	ENSG00000149634	45887635	protein_coding
-	45888625	20	NEURL2	ENSG00000124257	45891208	protein_coding
